Grind,Dose (g),Yield (g),TDS (%),EY (%),Shot Time (s)
0.3,18.1,46,9.63,24.47403315,38
0.5,18.1,45.4,10.22,25.63469613,27
0.7,18.1,45.1,10.82,26.96033149,19
0.9,18.1,44.8,9.99,24.72662983,20
1.1,18.1,44.6,9.89,24.36983425,16
1.1,18.1,44.8,9.72,24.05834254,16
1.3,18.1,44.8,9.11,22.54850829,15
