Grind,Dose (g),Yield (g),TDS (%),EY (%),Shot Time (s)
0.3,18.1,45.3,9.16,22.92530387,43
0.5,18.1,45.8,9.14,23.12773481,28
0.7,18.1,45.2,9.82,24.52287293,23
0.9,18.1,45.3,9.45,23.65110497,20
1.1,18.1,49.1,8.62,23.38353591,18
1.3,18.1,45.6,8.89,22.39690608,17
