No Porcupress,,,,
Dose (g),No puck depth (mm),Depth (mm),Thickness (mm),Density (g/cm^3)
16.3,32.28,19.7,10.88,0.557
16.3,32.35,19.82,10.83,0.560
16.3,35.61,23.04,10.87,0.558
16.3,35.62,23.08,10.84,0.559
