"Porcupress, 2 piercings at 180 degrees",,,,
Dose (g),No puck depth (mm),Depth (mm),Thickness (mm),Density (g/cm^3)
16.3,32.29,19.92,10.67,0.5683574688
16.3,35.58,23.18,10.7,0.5667639432
16.3,35.62,23.15,10.77,0.5630802407
16.3,35.62,23.16,10.76,0.5636035495
