Grind,Dose (g),Yield (g),TDS (%),EY (%),Shot Time (s)
0.1,18.1,45.5,10.68,26.85,56
0.1,17.7,45.7,10.09,26.05,54
0.2,17.8,45.3,11.1,28.25,45
0.4,18.1,45.6,10.44,26.30,24
0.6,18.1,45.9,9.6,24.34,19
0.8,18.1,45.7,9.6,24.24,17
1,18.1,45.5,9.47,23.81,16
1.2,18.1,45.9,9.34,23.69,16
1.4,18.1,45.2,9.12,22.77,16
1.4,18.1,45.6,8.91,22.45,16
